#Loop_length	position	psi	phi	counts
4	0	-160.0	-140.0	0.0
4	0	-160.0	-135.0	0.0
4	0	-160.0	-130.0	0.0
4	0	-160.0	-125.0	0.0
4	0	-160.0	-120.0	0.0
4	0	-160.0	-115.0	0.0
4	0	-160.0	-110.0	0.0
4	0	-160.0	-105.0	0.0
4	0	-160.0	-100.0	0.0
4	0	-160.0	-95.0	0.0
4	0	-160.0	-90.0	0.0
4	0	-160.0	-85.0	0.0
4	0	-160.0	-80.0	0.0
4	0	-160.0	-75.0	0.0
4	0	-160.0	-70.0	0.0
4	0	-160.0	-65.0	0.0
4	0	-160.0	-60.0	0.0
4	0	-160.0	-55.0	0.0
4	0	-160.0	-50.0	0.0
4	0	-160.0	-45.0	0.0
4	0	-160.0	-40.0	0.0
4	0	-160.0	-35.0	0.0
4	0	-160.0	-30.0	0.0
4	0	-160.0	-25.0	0.0
4	0	-160.0	-20.0	0.0
4	0	-160.0	-15.0	0.0
4	0	-160.0	-10.0	0.0
4	0	-160.0	-5.0	0.0
4	0	-160.0	0.0	0.0
4	0	-160.0	5.0	0.0
4	0	-160.0	10.0	0.0
4	0	-160.0	15.0	0.0
4	0	-160.0	20.0	0.0
4	0	-160.0	25.0	0.0
4	0	-160.0	30.0	0.0
4	0	-160.0	35.0	0.0
4	0	-160.0	40.0	0.0
4	0	-160.0	45.0	0.0
4	0	-160.0	50.0	0.0
4	0	-160.0	55.0	0.0
4	0	-160.0	60.0	0.0
4	0	-160.0	65.0	0.0
4	0	-160.0	70.0	0.0
4	0	-160.0	75.0	0.0
4	0	-160.0	80.0	0.0
4	0	-160.0	85.0	0.0
4	0	-160.0	90.0	0.0
4	0	-160.0	95.0	0.0
4	0	-160.0	100.0	0.0
4	0	-160.0	105.0	0.0
4	0	-160.0	110.0	0.0
4	0	-160.0	115.0	0.0
4	0	-160.0	120.0	0.0
4	0	-160.0	125.0	0.0
4	0	-160.0	130.0	0.0
4	0	-160.0	135.0	0.0
4	0	-160.0	140.0	0.0
4	0	-160.0	145.0	0.0
4	0	-160.0	150.0	0.0
4	0	-160.0	155.0	0.0
4	0	-160.0	160.0	0.0
4	0	-160.0	165.0	0.0
4	0	-160.0	170.0	0.0
4	0	-160.0	175.0	0.0
4	0	-155.0	-180.0	0.0
4	0	-155.0	-175.0	0.0
4	0	-155.0	-170.0	0.0
4	0	-155.0	-165.0	0.0
4	0	-155.0	-160.0	0.0
4	0	-155.0	-155.0	0.0
4	0	-155.0	-150.0	0.0
4	0	-155.0	-145.0	0.0
4	0	-155.0	-140.0	0.0
4	0	-155.0	-135.0	0.0
4	0	-155.0	-130.0	0.0
4	0	-155.0	-125.0	0.0
4	0	-155.0	-120.0	0.0
4	0	-155.0	-115.0	0.0
4	0	-155.0	-110.0	0.0
4	0	-155.0	-105.0	0.0
4	0	-155.0	-100.0	0.0
4	0	-155.0	-95.0	0.0
4	0	-155.0	-90.0	0.0
4	0	-155.0	-85.0	0.0
4	0	-155.0	-80.0	0.0
4	0	-155.0	-75.0	0.0
4	0	-155.0	-70.0	0.0
4	0	-155.0	-65.0	0.0
4	0	-155.0	-60.0	0.0
4	0	-155.0	-55.0	0.0
4	0	-155.0	-50.0	0.0
4	0	-155.0	-45.0	0.0
4	0	-155.0	-40.0	0.0
4	0	-155.0	-35.0	0.0
4	0	-155.0	-30.0	0.0
4	0	-155.0	-25.0	0.0
4	0	-155.0	-20.0	0.0
4	0	-155.0	-15.0	0.0
4	0	-155.0	-10.0	0.0
4	0	-155.0	-5.0	0.0
4	0	-155.0	0.0	0.0
4	0	-155.0	5.0	0.0
4	0	-155.0	10.0	0.0
4	0	-155.0	15.0	0.0
4	0	-155.0	20.0	0.0
4	0	-155.0	25.0	0.0
4	0	-155.0	30.0	0.0
4	0	-155.0	35.0	0.0
4	0	-155.0	40.0	0.0
4	0	-155.0	45.0	0.0
4	0	-155.0	50.0	0.0
4	0	-155.0	55.0	0.0
4	0	-155.0	60.0	0.0
4	0	-155.0	65.0	0.0
4	0	-155.0	70.0	0.0
4	0	-155.0	75.0	0.0
4	0	-155.0	80.0	0.0
4	0	-155.0	85.0	0.0
4	0	-155.0	90.0	0.0
4	0	-155.0	95.0	0.0
4	0	-155.0	100.0	0.0
4	0	-155.0	105.0	0.0
4	0	-155.0	110.0	0.0
4	0	-155.0	115.0	0.0
4	0	-155.0	120.0	0.0
4	0	-155.0	125.0	0.0
4	0	-155.0	130.0	0.0
4	0	-155.0	135.0	0.0
4	0	-155.0	140.0	0.0
4	0	-155.0	145.0	0.0
4	0	-155.0	150.0	0.0
4	0	-155.0	155.0	0.0
4	0	-155.0	160.0	0.0
4	0	-155.0	165.0	0.0
4	0	-155.0	170.0	0.0
4	0	-155.0	175.0	0.0
4	0	-150.0	-180.0	0.0
4	0	-150.0	-175.0	0.0
4	0	-150.0	-170.0	0.0
4	0	-150.0	-165.0	0.0
4	0	-150.0	-160.0	0.0
4	0	-150.0	-155.0	0.0
4	0	-150.0	-150.0	0.0
4	0	-150.0	-145.0	0.0
4	0	-150.0	-140.0	0.0
4	0	-150.0	-135.0	0.0
4	0	-150.0	-130.0	0.0
4	0	-150.0	-125.0	0.0
4	0	-150.0	-120.0	0.0
4	0	-150.0	-115.0	0.0
4	0	-150.0	-110.0	0.0
4	0	-150.0	-105.0	0.0
4	0	-150.0	-100.0	0.0
4	0	-150.0	-95.0	0.0
4	0	-150.0	-90.0	0.0
4	0	-150.0	-85.0	0.0
4	0	-150.0	-80.0	0.0
4	0	-150.0	-75.0	0.0
4	0	-150.0	-70.0	0.0
4	0	-150.0	-65.0	0.0
4	0	-150.0	-60.0	0.0
4	0	-150.0	-55.0	0.0
4	0	-150.0	-50.0	0.0
4	0	-150.0	-45.0	0.0
4	0	-150.0	-40.0	0.0
4	0	-150.0	-35.0	0.0
4	0	-150.0	-30.0	0.0
4	0	-150.0	-25.0	0.0
4	0	-150.0	-20.0	0.0
4	0	-150.0	-15.0	0.0
4	0	-150.0	-10.0	0.0
4	0	-150.0	-5.0	0.0
4	0	-150.0	0.0	0.0
4	0	-150.0	5.0	0.0
4	0	-150.0	10.0	0.0
4	0	-150.0	15.0	0.0
4	0	-150.0	20.0	0.0
4	0	-150.0	25.0	0.0
4	0	-150.0	30.0	0.0
4	0	-150.0	35.0	0.0
4	0	-150.0	40.0	0.0
4	0	-150.0	45.0	0.0
4	0	-150.0	50.0	0.0
4	0	-150.0	55.0	0.0
4	0	-150.0	60.0	0.0
4	0	-150.0	65.0	0.0
4	0	-150.0	70.0	0.0
4	0	-150.0	75.0	0.0
4	0	-150.0	80.0	0.0
4	0	-150.0	85.0	0.0
4	0	-150.0	90.0	0.0
4	0	-150.0	95.0	0.0
4	0	-150.0	100.0	0.0
4	0	-150.0	105.0	0.0
4	0	-150.0	110.0	0.0
4	0	-150.0	115.0	0.0
4	0	-150.0	120.0	0.0
4	0	-150.0	125.0	0.0
4	0	-150.0	130.0	0.0
4	0	-150.0	135.0	0.0
4	0	-150.0	140.0	0.0
4	0	-150.0	145.0	0.0
4	0	-150.0	150.0	0.0
4	0	-150.0	155.0	0.0
4	0	-150.0	160.0	0.0
4	0	-150.0	165.0	0.0
4	0	-150.0	170.0	0.0
4	0	-150.0	175.0	0.0
4	0	-145.0	-180.0	0.0
4	0	-145.0	-175.0	0.0
4	0	-145.0	-170.0	0.0
4	0	-145.0	-165.0	0.0
4	0	-145.0	-160.0	0.0
